Gotoku Sakai,sakai_go1123,22060
Gabriel,Gabri_33,17071
Dayro Moreno,Dayro_Moreno,25460
Franco Di Santo,fdisanto9,306503
Daniel Brosinski,Brunso20,6
Jonathan Schmid,Schmidjon,1981
Benjamin van Leer,BvLeer,568
Ivan Radovanovic,irdvn,109
Omar Elabdellaoui,OmarEla14,14199
Antonino Ragusa,RagusaAnto,3927
Yvon Mvogo,YMvogo,1829
Lisandro López,lichilopez2,65213
Facundo Roncaglia,facuroncaglia10,9031
Riccardo Meggiorini,Rmeggio,22
Luciano Narsingh,Narsingh24,1238
Wanderson,wandersonvip32,23
Stefan Johansen,stefanjohansen,59561
Jamaal Lascelles,Lascelles16,101130
Diego Farías,Doggington,265
Ademilson,AdemilsonJr,95674
Nicola Rigoni,nickrig971,49
Camilo Vargas,Kmilovargas12,317400
Eren Derdiyok,ErenDerdiyok1,5237
Castán,l_castan,336993
Mubarak Wakaso,WakasoBobby,18644
Takashi Usami,mtjwx,173
Georgiy Schennikov,Schennikov23,65
Rodrigo Moledo,MoledoRodrigo,325
Luís Neto,laantech,484
Matt Ritchie,SimpIyRitchie,1741
Fernandão,F6Fernandao,5953
Hiroki Sakai,hi04ro30ki,190281
Marco Rojas,marco_rojasm,1055
Matías Suárez,matisuarez9,21145
Oleg Ivanov,oivanov85,211
Isaac Brizuela,FanConeBrizuela,260
Jaime Romero,JaimeRomeroDj,1217
Abdul Majeed Waris,Abdulmajeedwar2,11
Marvin Zeegelaar,Marvin_240,127
Kiko Femenía,kikofemenia_15,13544
Maxim Kanunnikov,Max_Kanunnikov,54
Mauro,Tyrexito,29718
Lamine Sané,LamineSane06,6027
Rasmus Falk Jensen,OffcialFalk9,55
Guilherme,giovannoni12,14791
Nemanja Pejcinovic,87_nemanja,3214
Diogo Figueiras,diogofigueiras2,8308
Lorenzo De Silvestri,l_desilvestri,129947
Felix Wiedwald,wiedwald_felix,95
Thomas Heurtaux,THeurtaux_75,3700
Steven Zuber,StevenZuber8,9809
Jonathan Biabiany,jlbiabiany,19451
Darlington Nagbe,darlingtonnagbe,30671
Nicolas Isimat-Mirin,nicoisimat,8617
Kenneth Vermeer,kennethvermeer,86899
Denis Zakaria,marceloholic,467
Caner Erkin,CanerErkin,695294
Guerrero,AndreaGuerreroQ,1071621
Francesco Bardi,francesco_cesk,279
Julian Schieber,julian_schieber,2948
Allan Nyom,AllanNyom,23046
Gonzalo Rodríguez,juanma_rguez,111253
Ezequiel Cerutti,EzeCerutti,34492
Ricardo van Rhijn,xELG2,382
Emiliano Velázquez,EmilianoVelazCF,51
Afriyie Acquah,AcquahAfriyie20,11844
Neeskens Kebano,Neeskens_Kebano,50278
Bastian Oczipka,OczipkaBastian,158
Jorge,soujorge,2647514
James McClean,JamesMcC_14,39167
Jimmy Durmaz,JimmyDurmaz21,6284
Tana,tanamongeau,753864
Willy Boly,bolywilly15,248
Sloan Privat,PrivatSloan,1
Onur Kivrak,RecepOnurKivrak,1727
Aaron Cresswell,Aaron_Cresswell,83240
Michel Macedo,Michelmacedo16,3087
Samu García,SamuCalderas,1192
Timmy Chandler,Timmy_Chandler,135
Celso Ortíz,yazav18,831
Bóveda,BovedaEd,2557
Dani Pacheco,dani37pacheco,252834
Craig Dawson,craigdawson42,763
Tom Davies,1TomDavies,44890
Olcay Sahan,olcay_sahan10,414433
Pierre-Michel Lasogga,Lasogga10,177064
Papy Djilobodji,papydjilo15,18404
Federico Marchetti,fmarchetti22,23028
Sergio,23Llull,530472
Tranquillo Barnetta,badapuesto,7
Matt Miazga,MattMiazga3,26490
Luca Caldirola,caldiluca3,30171
Josh Onomah,JoshOnomah,840
Motaz Hawsawi,motaz_Hawsawi,454
William Tesillo,williamtesillo,7210
Moritz Leitner,MoLeitner,19763
Eraso,Agroviajeros,1261
Chema Rodríguez,Chemarrodriguez,1684
Luna,Lunaa,459825
Ryan Babel,Ryanbabel,1113147
Fabian Schär,FabianSchar,163
Ebenezer Ofori,Ebenezer_ofori8,319
Rasmus Elm,Rasmus_Elm,11809
Gastón Lezcano,gastonlezcano16,4708
Tom Ince,thiswillbewar,85
André Martins,paulo_andre15,1996
Josué,JoshuaTreeNPS,58790
Marafona,Marafont,52
Fábio Coentrão,Fabio_Coentrao,2436781
Gálvez,ChristianG_7,442142
Jaïro Riedewald,iiJonas_x,251
Itumeleng Khune,TherealItu,56518
Adama Niane,adamaNiane3,19
Luca Cigarini,lucacigarini21,437
Gustavo Gómez,gustavogomez462,26599
Óscar Murillo,oscarfmurillo,10088
Víctor Vázquez,churrivazquez,23412
Omar Ramos,OmarRamos_C,3363
James McArthur,jamesmcarthur16,51501
César Montes,CJasib,58602
Abraham,AbrahamMateo,2699601
Manuel Akanji,obafemi_36,341
Jean-Kévin Augustin,33_augustin,35462
Luká Pokorný,PokoLuka,15
Maximiliano Urruti,maxiurruti37,355
Gen Shoji,GenShoji03,44266
Pajtim Kasami,PajtimKasami,98429
Clerc,JulienClerc_Off,4805
Milad Mohammadi,miladmohammadi_,1252
Cheick Doukouré,Doukoure_off,1227
Quique,QuiqueNeira,46167
Cejudo,HenryCejudo,21976
Leonel Vangioni,VangioniLeonel,34836
Darío Cvitanich,Daricvitaok,228218
Federico Ceccherini,cecche17,1110
Junior Alonso,junior_alonso1,4823
Roman Shishkin,shish49,39735
Michael Esser,MichaelEsser,548
Sergi Samper,SergiSamper,126125
Leonardo Jara,JaraLeonardoOk,3301
Vincent Nogueira,Hanniboul,194
Erik Sviatchenko,eriksviat,81213
Rodrigo Palacio,RodriPalacio_8,9266
Nahuel Leiva,Nahuel7Leiva,8712
Felipe Aguilar,FelipeAgui,7790
Gianluigi Buffon,gianluigibuffon,2989813
Marlos Moreno,MarlosMorenoCF,21192
Jorge Sáenz,JorgeSaenz_,2926
Pablo Hernández,HernandezPabloe,6164
Marcos Díaz,marcos_diaz,98685
Joan Jordán,Joan_JJ_Mc,1044
Edgar Ié,IEdgar94,2452
Diego Ângelo,diegoangelo03,13636
Bobô,CoachBobo_CSU,32254
Ben Gibson,bengibson1993,62085
Ron Vlaar,RonVlaar4,196795
Kenedy,Kenedy_Knd,23460
Charlie Adam,Charlie26Adam,502011
Tiago Silva,TgProduoes,276
Jesús Molina,j_molina5,511610
Carlos Ponck,ponck6,3
Garath McCleary,gmccleary12,41977
Hanno Behrens,HannoBehrens,19
Karim Ansarifard,KarimAnsarifard,43
Marvelous Nakamba,nakamba18,784
Daniel Schwaab,Danielschwaab1,17
Emil Krafth,EmilKrafth,3225
Bruno Petkovic,PetkoOfficial,4983
Stefan Kießling,stefan_kiesling,942
Riza Durmisi,RizaDurmisi,35412
Samuel Gigot,GigotSamuel,1
Nacer Barazite,NacerBarazite,3211
Ricardo Noir,NoirTito,12838
Jérémy Toulalan,FansdeToulalan,931
Matías Silvestre,MatiSilvestre2,2301
Riesgo,CSERCambridge,2770
Ángel Zaldívar,AZaldivar_,165081
Joaquín,lopezdoriga,7877906
Alexander Meier,almeierh,129
Samir,samir,31117
Matt Hedges,Matt_Hedges,4935
Charlie Taylor,charlietaylor09,32908
Marco Borriello,borriellomarco1,102009
Johan Arango,badboys78975456,372
Jhon Murillo,JHONMURILLO17,2659
Erick Pulgar,ErickPulgar,15667
Guilherme,giovannoni12,14791
Martin Linnes,M_Linnes,18372
Ezequiel Ponce,KeloMP,195
Hernán Toledo,toledocai,1441
Miguel Torres,MIKI_Torres_,14265
Andrea Costa,andrecosta_3,9021
Jonathan Walters,JonWalters19,66828
Mark Milligan,mmills05,33579
Nicolas Pépé,NicolasPepe19,3549
Dennis Appiah,DennisAppiahOff,6444
Carlos Carbonero,CCarboneroCF,5220
Jonathan Hogg,JonHogg1979,542
Freddy Hinestroza,Freddy11Ha,152
Amine Harit,Amine_000,27450
Brian Fernández,BrianFernandeez,3057
Yuki Kobayashi,iamyuuki4424,16930
Andrey Sinitsyn,boombick,169
Juan Forlin,ForlinJuan,1413
Benoît Poulain,bpoulain,281
Castro,JulianCastro,106936
Neil Taylor,neiltaylor1,957
